text,label
Madame wanakuaga aje story za sex,IT
Age gani ni poa kuanza na boy,IT
Niambie vile nitavibe na boys wa class,IT
Pregnancy huwa aje?,IT
Mbona wasichana wananuka privates?,IT
Nitajua aje niko preg?,IT
"Naogopa kukua na dame, mimi ni gay",IT
Periods zangu ni za uchungu,IT
Kunaedaga aje mtu akianza periods,IT
Mbona nanyonji,IT
Mtu anaweza abort wapi?,IT
Mamangu haniskizi juu ya mambo ya madame,IT
Mtu anafanaya aje ndio asinuke nunu?,IT
Nataka kuwatch porn but pastor anadai sio poa,IT
Kumasterbate ni mbaya?,IT
Sijui niende wapi coz nina ball,IT
Niko frustrated na depressed,IT
"Teacher wangu anakikatia, nido?",IT
"Nataka ku-break up na my boy, nifanye aje?",IT
Ntajua aje ka my boyfriend ako na dame mwingine,IT
Nataka kujua wewe ni nani,IT
"Nilikua married at a young age, saa hii nataka divorce",IT
Dame yangu ameniwacha,IT
"Niko in love na a guy in my neighbourhood, nitamwambia aje?",IT
Sperm inakaa aje?,IT
Una picha za vagina na penis,IT
"Nimeambiwa juu ya story za manospere, niende kutafut awapi hawa watu",IT
"I am heartbroken , nina uchungu mwingi",IT
"Mzae wangu ni mzii, nafeel stressed",IT
Wewe ni conman au uko real?,IT
"Nilikuwa natafuta job huyo mdosi akaniambia anataka tufanye sex kabla anipatie, what do I do?",IT
STI ni nini?,IT
"Nataka kuavoid HIV, beshte yangu anayo",IT
Mna CD za Sare?,IT
Mna dawa za ukedi?,IT
Nta avoid kuwa na ball aje?,IT
P2 ntatoa wapi?,IT
Ninormal kucheki porno,IT
"Siwezi beba hii ball, nataka ku-abort",IT
Natafuta job,OOT
Kuendesha gari nilazima?,OOT
Ninanjaa,OOT
Fuck you,OOT
Mjinga fala stupid,OOT
"Nauza everything, unataka?",OOT
Nyumba huwa how much,OOT
"Life ni hard, wewe unaishi aje?",OOT
"Nataka kustudy, mna scholarships?",OOT
"Nikivaa nguo hainitoshei, mtu huenda market au?",OOT
Unafuraha at your job?,OOT
Tungoje next season,OOT
Niko sure nimekosea kidogo,OOT
There is no stima,OOT
"Mtu anakata miti, climate change itatufikia",OOT
Mko pande gani I visit,OOT
Beshte yangu ni jealous,OOT
Nimetoa watu insta,OOT
Nipe links za porn,OOT
Nikitaka ku-dema niende wapi?,OOT
Unajua aje which career or job you should take?,OOT
How do I pass grade 9,OOT
"I am an entrepreneur, am having business problems",OOT
Story ya kubet na sports pesa naanza aje?,OOT
Nataka manifestation of wealth and abudance,OOT
Song latest kwa tv ni?,OOT
"Natafuta reliable source ya politics, sizielevi sana",OOT
"Nina fifty bob, aki sijui itanisaidia nini, mna pa kulala",OOT
Gava inaweza tupatia loans za bizna?,OOT
Kuna job za vijanaa mtaani,OOT
Jobs na projects kwa mtaa mtu anatoa wapi,OOT
Watoi wako shule na hakuna school fees,OOT
Securiy kwa eststate ni noma,OOT
"Mathegi  ni wengi, tusaidie",OOT
"Huku ni nare, siwezi tembea, iteni polisi watusaidie",OOT
"Polisi wanatutesa, watu was societies mtusaidie vijanaa",OOT
"Kuna watoi wanatalent, tusaidika aje kuexploit hiyo talent",OOT
Kanjo inadeal aje na mastadi,OOT
"Tumekuwa tukiishi poa, na sasa madevelopers wankuja kuvunja hao. Tutaenda wapi?",OOT
